bloc,traitement,engrais,projet,annee,site,date_semis,date_repiquage,sem_repiq,period_repiq,date_fert_1,sem_fert1,period_fert1,date_1,sem_d1,period_d1,haut1,feuil1,diam1,date_2,sem_d2,period_d2,haut2,feuil2,diam2,date_fert_2,sem_fert2,period_fert2,date_3,sem_d3,period_d3,haut3,feuil3,diam3,date_4,sem_d4,period_d4,haut4,feuil4,diam4,date_5,sem_d5,period_d5,nb_plants_5,nfleurs_5_m2,nfruits_5_m2,date_6,sem_d6,period_d6,nb_plants_6,nfleurs_6_m2,nfruits_6_m2,date_7,sem_d7,period_d7,nb_plants_7,nfleurs_7_m2,nfruits_7_m2,date_recolte_1,sem_re1,period_re1,date_recolte_2,date_recolte_3,sem_re3,period_re3,nfruits_re_m2,rdt_kghac,rdt_kgha,rdt_tha
4,T2,Fumier poulets,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1,Sem AR,2021-01-25,3,Sem AR,27.61,8.13,4.32,2021-02-08,5,Sem AR,33.69,10,5.49,2021-02-10,5.29,Sem AR,2021-02-15,6,Sem AR,37.31,11.5,5.77,2021-02-22,7,Sem AR,40.88,11.5,6.21,2021-02-25,7.43,Sem AR,8,53.5,7.5,2021-03-04,8.43,Sem AR,7,50.29,14.86,2021-03-11,9.43,Sem AR,7,48.57,21.71,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,5.14,881.14,881.14,0.88
4,T3,Engrais mineral,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1,Sem AR,2021-01-25,3,Sem AR,23.64,8.71,4.33,2021-02-08,5,Sem AR,35.93,10.29,5.51,2021-02-10,5.29,Sem AR,2021-02-15,6,Sem AR,37.25,12.17,5.93,2021-02-22,7,Sem AR,40.58,8.83,6.11,2021-02-25,7.43,Sem AR,7,64.57,7.43,2021-03-04,8.43,Sem AR,4,60,15,2021-03-11,9.43,Sem AR,4,49,21,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,5,866,866,0.87
4,T4,50% FPorcs + 50% Eng. Min.,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1,Sem AR,2021-01-25,3,Sem AR,19.81,7.5,4.22,2021-02-08,5,Sem AR,27.5,9,5.21,2021-02-10,5.29,Sem AR,2021-02-15,6,Sem AR,32.31,10.5,6.04,2021-02-22,7,Sem AR,37.81,11.88,6.6,2021-02-25,7.43,Sem AR,6,80,5.33,2021-03-04,8.43,Sem AR,6,74.67,10.67,2021-03-11,9.43,Sem AR,6,97.33,22.67,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,3.33,989.33,989.33,0.99
4,T5,50% FPoulets + 50% Eng. Min.,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1,Sem AR,2021-01-25,3,Sem AR,21.29,8.29,4.57,2021-02-08,5,Sem AR,37.21,12.71,6.25,2021-02-10,5.29,Sem AR,2021-02-15,6,Sem AR,40.36,12,7.18,2021-02-22,7,Sem AR,43.75,12.83,7.85,2021-02-25,7.43,Sem AR,8,66.5,8.5,2021-03-04,8.43,Sem AR,4,93,21,2021-03-11,9.43,Sem AR,4,63,36,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,5,1112,1112,1.11
5,T0,Temoin,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1,Sem AR,2021-01-25,3,Sem AR,17.44,7.75,5.59,2021-02-08,5,Sem AR,24.31,8.63,6.15,2021-02-10,5.29,Sem AR,2021-02-15,6,Sem AR,28.69,10.38,6.89,2021-02-22,7,Sem AR,34.63,10.13,6.62,2021-02-25,7.43,Sem AR,7,70.86,16,2021-03-04,8.43,Sem AR,7,67.43,19.43,2021-03-11,9.43,Sem AR,6,83.33,22,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,7.33,1074.67,1074.67,1.07
5,T1,Fumier porcs,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1,Sem AR,2021-01-25,3,Sem AR,19.94,8.88,5.21,2021-02-08,5,Sem AR,34,11.13,6.04,2021-02-10,5.29,Sem AR,2021-02-15,6,Sem AR,35.88,11.5,6.28,2021-02-22,7,Sem AR,37.94,11.5,6.89,2021-02-25,7.43,Sem AR,7,61.14,10.86,2021-03-04,8.43,Sem AR,7,58.29,14.86,2021-03-11,9.43,Sem AR,6,38.67,12,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,2.67,479.33,479.33,0.48
5,T2,Fumier poulets,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1,Sem AR,2021-01-25,3,Sem AR,19.36,8.29,4.69,2021-02-08,5,Sem AR,29.29,8.29,5.96,2021-02-10,5.29,Sem AR,2021-02-15,6,Sem AR,30.86,10.43,6.14,2021-02-22,7,Sem AR,35.79,12.29,6.82,2021-02-25,7.43,Sem AR,7,70.86,12,2021-03-04,8.43,Sem AR,7,68,14.86,2021-03-11,9.43,Sem AR,7,64,18.86,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,7.43,1504.57,1504.57,1.5
5,T3,Engrais mineral,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1,Sem AR,2021-01-25,3,Sem AR,15.81,7.5,5.15,2021-02-08,5,Sem AR,31.14,11.14,6.07,2021-02-10,5.29,Sem AR,2021-02-15,6,Sem AR,34.8,11.57,6.7,2021-02-22,7,Sem AR,36,11.67,6.93,2021-02-25,7.43,Sem AR,7,73.14,4,2021-03-04,8.43,Sem AR,4,65,13,2021-03-11,9.43,Sem AR,4,61,19,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,6,789,789,0.79
5,T4,50% FPorcs + 50% Eng. Min.,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1,Sem AR,2021-01-25,3,Sem AR,21.25,9.25,4.86,2021-02-08,5,Sem AR,34.69,11.88,6.23,2021-02-10,5.29,Sem AR,2021-02-15,6,Sem AR,36.19,14,7.08,2021-02-22,7,Sem AR,40.25,15.63,7.63,2021-02-25,7.43,Sem AR,8,85.5,10,2021-03-04,8.43,Sem AR,7,81.14,18.86,2021-03-11,9.43,Sem AR,7,64,28,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,2.29,411.43,411.43,0.41
5,T5,50% FPoulets + 50% Eng. Min.,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1,Sem AR,2021-01-25,3,Sem AR,17.93,8.43,5.1,2021-02-08,5,Sem AR,33.07,12,6.03,2021-02-10,5.29,Sem AR,2021-02-15,6,Sem AR,37.75,10.83,6.71,2021-02-22,7,Sem AR,41.8,12.6,7.52,2021-02-25,7.43,Sem AR,7,64.57,12.57,2021-03-04,8.43,Sem AR,5,72.8,24.8,2021-03-11,9.43,Sem AR,5,56,24,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,10.4,1283.2,1283.2,1.28
