bloc,traitement,traite,plant,projet,annee,site,date_semis,date_repiquage,sem_repiq,period_repiq,date_fert_1,sem_fert1,period_fert1,date_1,sem_d1,period_d1,haut1,feuil1,diam4,date_2,sem_d2,period_d2,haut2,feuil2,diam2,date_fert_2,sem_fert2,period_fert2,date_3,sem_d3,period_d3,haut3,feuil3,diam3,date_4,sem_d4,period_d4,haut4,feuil4,diam4,date_5,sem_d5,period_d5,nb_plants_5,nfleurs_5_m2,nfruits_5_m2,date_6,sem_d6,period_d6,nb_plants_6,nfleurs_6_m2,nfruits_6_m2,date_7,sem_d7,period_d7,nb_plants_7,nfleurs_7_m2,nfruits_7_m2,date_recolte_1,sem_re1,period_re1,date_recolte_2,date_recolte_3,sem_re3,period_re3,nfruits_re_m2,rdt_kghac,rdt_kgha,rdt_tha
1,T5,"50% FPoulets,50% Eng. Min.",plant 1,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1.00,Sem AR,2021-01-25,3.00,Sem AR,12.50,5.50,2.98,2021-02-08,5.00,Sem AR,23.25,9.00,4.81,2021-02-10,5.29,Sem AR,2021-02-15,6.00,Sem AR,31.00,10.50,6.50,2021-02-22,7.00,Sem AR,34.25,10.50,7.10,2021-02-25,7.43,Sem AR,7,69.71,8.57,2021-03-04,8.43,Sem AR,5,83.20,18.40,2021-03-11,9.43,Sem AR,5,64.00,20.80,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,5.60,1089.60,1089.60,1.09
1,T5,"50% FPoulets,50% Eng. Min.",plant 3,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1.00,Sem AR,2021-01-25,3.00,Sem AR,13.50,6.00,3.44,2021-02-08,5.00,Sem AR,28.50,11.00,5.00,2021-02-10,5.29,Sem AR,2021-02-15,6.00,Sem AR,35.50,15.00,6.00,2021-02-22,7.00,Sem AR,41.00,11.00,6.28,2021-02-25,7.43,Sem AR,,,,2021-03-04,8.43,Sem AR,,,,2021-03-11,9.43,Sem AR,,,,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,,,,
1,T5,"50% FPoulets,50% Eng. Min.",plant 5,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1.00,Sem AR,2021-01-25,3.00,Sem AR,19.25,10.00,4.24,2021-02-08,5.00,Sem AR,22.75,8.50,5.64,2021-02-10,5.29,Sem AR,2021-02-15,6.00,Sem AR,28.25,8.00,6.14,2021-02-22,7.00,Sem AR,30.25,12.00,6.15,2021-02-25,7.43,Sem AR,,,,2021-03-04,8.43,Sem AR,,,,2021-03-11,9.43,Sem AR,,,,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,,,,
1,T5,"50% FPoulets,50% Eng. Min.",plant 7,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1.00,Sem AR,2021-01-25,3.00,Sem AR,18.00,7.50,4.50,2021-02-08,5.00,Sem AR,35.25,12.00,6.82,2021-02-10,5.29,Sem AR,2021-02-15,6.00,Sem AR,41.00,14.50,8.00,2021-02-22,7.00,Sem AR,44.25,14.50,8.25,2021-02-25,7.43,Sem AR,,,,2021-03-04,8.43,Sem AR,,,,2021-03-11,9.43,Sem AR,,,,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,,,,
2,T0,Temoin,plant 1,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1.00,Sem AR,2021-01-25,3.00,Sem AR,25.50,9.00,4.75,2021-02-08,5.00,Sem AR,31.00,10.50,5.10,2021-02-10,5.29,Sem AR,2021-02-15,6.00,Sem AR,33.30,9.00,5.60,2021-02-22,7.00,Sem AR,38.00,8.00,6.00,2021-02-25,7.43,Sem AR,8,55.50,3.50,2021-03-04,8.43,Sem AR,5,56.00,11.20,2021-03-11,9.43,Sem AR,5,45.60,16.80,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,4.00,628.00,628.00,0.63
2,T0,Temoin,plant 3,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1.00,Sem AR,2021-01-25,3.00,Sem AR,22.75,9.50,6.00,2021-02-08,5.00,Sem AR,38.25,12.00,6.83,2021-02-10,5.29,Sem AR,2021-02-15,6.00,Sem AR,36.50,13.00,6.85,2021-02-22,7.00,Sem AR,48.50,19.00,8.40,2021-02-25,7.43,Sem AR,,,,2021-03-04,8.43,Sem AR,,,,2021-03-11,9.43,Sem AR,,,,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,,,,
2,T0,Temoin,plant 5,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1.00,Sem AR,2021-01-25,3.00,Sem AR,18.50,9.00,5.65,2021-02-08,5.00,Sem AR,34.00,14.00,6.58,2021-02-10,5.29,Sem AR,2021-02-15,6.00,Sem AR,34.20,10.00,7.15,2021-02-22,7.00,Sem AR,38.00,12.00,5.10,2021-02-25,7.43,Sem AR,,,,2021-03-04,8.43,Sem AR,,,,2021-03-11,9.43,Sem AR,,,,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,,,,
2,T0,Temoin,plant 7,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1.00,Sem AR,2021-01-25,3.00,Sem AR,12.00,6.00,3.30,2021-02-08,5.00,Sem AR,17.50,7.50,3.93,2021-02-10,5.29,Sem AR,2021-02-15,6.00,Sem AR,22.50,8.00,4.50,2021-02-22,7.00,Sem AR,19.00,7.00,4.32,2021-02-25,7.43,Sem AR,,,,2021-03-04,8.43,Sem AR,,,,2021-03-11,9.43,Sem AR,,,,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,,,,
2,T1,Fumier porcs,plant 1,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1.00,Sem AR,2021-01-25,3.00,Sem AR,35.75,11.50,7.00,2021-02-08,5.00,Sem AR,45.00,11.00,8.75,2021-02-10,5.29,Sem AR,2021-02-15,6.00,Sem AR,49.50,9.50,9.00,2021-02-22,7.00,Sem AR,50.50,9.00,9.00,2021-02-25,7.43,Sem AR,6,54.67,7.33,2021-03-04,8.43,Sem AR,4,67.00,17.00,2021-03-11,9.43,Sem AR,4,48.00,26.00,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,4.00,580.00,580.00,0.58
2,T1,Fumier porcs,plant 3,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1.00,Sem AR,2021-01-25,3.00,Sem AR,19.75,8.00,6.80,2021-02-08,5.00,Sem AR,33.50,10.50,8.33,2021-02-10,5.29,Sem AR,2021-02-15,6.00,Sem AR,37.00,10.50,8.58,2021-02-22,7.00,Sem AR,31.00,7.00,9.16,2021-02-25,7.43,Sem AR,,,,2021-03-04,8.43,Sem AR,,,,2021-03-11,9.43,Sem AR,,,,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,,,,
